Estado - Sigla,Valor de Venda - Media
AC,3.032151898734177
AL,2.755225806451613
AM,2.50930623642569
AP,2.6343265306122445
BA,2.6313775983667407
CE,2.6411129943502827
DF,2.5687259006815966
ES,2.632018054162488
GO,2.535595928907793
MA,2.6958966435801814
MG,2.5051398147786332
MS,2.7343854632112006
MT,2.842183581669947
PA,2.796151053619862
PB,2.4502610513739547
PE,2.6082964413221235
PI,2.607054728220402
PR,2.427199186711696
RJ,2.5785782448765104
RN,2.5469318644067793
RO,2.7551764705882356
RR,2.721172839506173
RS,2.577862748767858
SC,2.539053516363275
SE,2.533640434192673
SP,2.421835787923417
TO,2.7185523510971787
Total,2.539220243460094
