Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,21.280595,22.402504,24.517690,28.131595,31.052744,32.957268,34.620735,35.594754,37.429911,39.855905,41.495485,44.178247,46.864232,49.768770,52.537233,55.809388,62.102540,66.188858,67.556931,69.876800,73.008384,76.985382,84.807227
Fev,21.410406,22.575003,24.780029,28.826445,31.310481,33.145124,34.752293,35.769168,37.688177,40.110982,41.860645,44.593522,47.103239,50.226642,52.868217,56.635366,63.040288,66.466851,67.712311,70.128356,73.147099,77.193242,85.375435
Mar,21.421111,22.685620,24.856847,29.247311,31.432591,33.290962,34.832223,35.919398,37.869080,40.235326,42.153669,44.834327,47.286941,50.487820,53.206573,57.292336,63.639170,66.626371,67.834193,70.507049,73.271449,77.826226,86.229189
Abr,21.448958,22.794510,25.010959,29.647999,31.611756,33.533986,34.926270,36.077443,38.062212,40.315796,42.452960,45.130233,47.372057,50.790746,53.642866,58.157450,63.919182,66.839575,67.881676,71.049953,73.403337,78.495531,87.703708
Mai,21.468262,22.985983,25.181033,30.057141,31.741364,33.839145,34.968181,36.171244,38.305810,40.537532,42.762866,45.455170,47.675238,51.090411,54.061280,58.570367,64.328264,66.893046,68.024227,71.476252,73.234509,78.793814,
Jun,21.457527,23.117003,25.203695,30.354706,31.868329,34.076019,35.013639,36.265289,38.673545,40.780757,42.946746,45.714264,47.937451,51.269227,54.385647,59.150213,64.958680,67.133860,68.316731,71.583466,73.051422,79.550234,
Jul,21.521899,23.255705,25.357437,30.336493,32.027670,34.038535,34.989129,36.377711,39.025474,40.952036,42.899504,45.814835,48.062088,51.412780,54.527049,59.605669,65.263985,66.932458,69.293660,71.590624,73.270576,80.027535,
Ago,21.821053,23.513843,25.649047,30.348627,32.261471,34.048746,35.027617,36.494119,39.251821,41.046225,42.869474,45.814835,48.268754,51.345943,54.597934,59.951381,65.681674,67.046243,69.466894,71.662214,73.592966,80.843815,
Set,22.085087,23.699602,25.869628,30.403254,32.422778,34.048746,35.020611,36.709434,39.334249,41.079061,42.839465,46.007257,48.485963,51.428096,54.696210,60.101259,65.885287,67.026129,69.466894,71.748208,73.857900,81.555240,
Out,22.180052,23.803880,26.084345,30.652560,32.477896,34.099819,35.076643,36.801207,39.393250,41.144787,43.070798,46.214289,48.791424,51.566951,54.964221,60.407775,65.937995,67.012723,69.675294,71.712333,74.500463,82.533902,
Nov,22.215540,24.027636,26.493869,30.772104,32.533108,34.297597,35.227472,36.911610,39.590216,41.243534,43.467049,46.362174,49.137843,51.881509,55.173085,60.872914,66.050089,67.260670,69.953995,71.741017,75.163517,83.491295,
Dez,22.279965,24.337592,27.392011,30.885960,32.676253,34.482804,35.375427,37.070329,39.740658,41.396135,43.914759,46.626438,49.403187,52.161669,55.465502,61.548603,66.096324,67.381739,69.779110,72.128418,75.877570,84.192621,
